Reaction_SMILES,X91, X92 ,X93, X94 ,X95,X96,X97,X98,X99,X100
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.96,-1.74,1.58,-0.9,-1.32,-0.47,-0.24,0.45,0.03,-0.35
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.04,-1.54,2.33,-1.01,-1.37,-0.26,-0.68,-0.09,-0.06,-0.48
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.08,-1.28,1.76,-1.27,-1.42,-0.99,-0.11,0.77,0.13,-0.22
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CO>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.89,-2.11,1.65,-0.92,-2.07,0.75,-0.28,0.12,0.45,-0.72
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.8,-1.18,1.64,-0.93,-1.5,-0.91,0.26,0.75,0.09,-0.11
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-1.83,1.75,-1.21,-1.3,-0.64,-0.58,0.28,0.11,-0.46
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.58,-1.55,1.71,-1.06,-1.33,-0.66,0.01,0.61,0.34,-0.24
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.21,-1.49,1.64,-1.2,-1.5,-0.57,-0.43,0.63,0.15,-0.37
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-1.73,1.68,-0.95,-1.32,-0.47,-0.23,0.43,0.07,-0.34
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.11,-2.03,2.08,-1.1,-1.44,0.15,-0.84,0,0.17,-0.65
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.46,-1.36,1.92,-1.39,-1.41,-1.03,-0.37,0.75,0.11,-0.18
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.58,-2.31,1.48,-0.87,-2.14,0.88,-0.38,0.19,0.33,-0.96
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.37,-1.27,1.84,-1.05,-1.5,-0.93,0.04,0.72,0.11,0
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-1.37,1.5,-0.79,-1.36,-0.1,-0.13,0.35,-0.08,-0.35
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CS(C)=O>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.06,-1.35,1.41,-1.5,-1.53,-0.04,-0.71,0.72,1.27,0.26
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.59,-1.26,1.75,-1,-1.46,0.77,0.52,0.38,0.14,0.54
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.95,-2.33,1.64,-0.76,-2.08,0.94,-0.18,-0.12,0.24,-0.97
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.18,-1.33,2.25,-1.21,-1.53,-1.31,-0.56,0.63,-0.01,-0.41
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-1.82,1.69,-0.86,-1.76,1.83,0.32,-0.36,0.38,-0.99
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.95,-2.41,1.38,-0.83,-2.08,1.65,-0.24,-0.13,0.2,-0.92
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.82,-2.28,1.39,-0.1,-0.96,0.14,-0.41,-0.08,-0.41,-0.62
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.55,-2.5,1.59,-0.81,-1.9,1.18,-0.67,0.01,0.19,-0.85
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.35,-2.49,1.84,-0.26,-0.47,-0.03,-0.84,0.15,-0.19,-0.89
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-2.59,1.1,-1.32,-0.1,0.2,-1.62,-0.32,0.08,-0.77
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.35,-2.82,1.83,-1.11,-0.16,0.12,-1.74,-0.09,-0.61,-0.78
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].C1=CC=CC=C1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.18,-2.29,1.82,-1.96,0.08,0.43,-1.29,-0.08,-0.55,-0.37
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.08,-2.57,1.12,-1.63,-0.65,0.83,-1.35,0.27,-0.77,-0.29
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.77,-2.43,1.44,-1.72,-0.72,0.58,-1.69,-0.07,-0.85,-0.64
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.58,-2.49,1.55,-1.81,-0.77,0.49,-1.62,-0.05,-0.51,-0.51
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.7,-1.37,1.95,-1.25,-0.61,0.95,-0.45,-0.38,0.16,-0.18
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.75,-1.73,1.56,-0.93,-0.84,1.07,0.1,0.24,-0.42,0.21
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.46,-1.74,1.48,-1.03,-0.84,0.82,-0.19,0.23,-0.3,0.07
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.27,-1.7,1.4,-1.07,-0.87,0.84,-0.21,0.17,-0.24,-0.06
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.43,-1.79,1.37,-1.17,-1.02,0.77,-0.35,0.16,-0.12,-0.14
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.7,-1.12,1.95,-0.86,-1.05,0.95,-0.64,0.16,-0.96,-0.22
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.89,-1.44,1.68,-0.89,-0.92,1.41,-1.44,0.03,-0.48,-0.05
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].C1COCCO1>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.65,-1.45,1.6,-1.15,-1.12,0.74,-0.38,0.05,0.49,0.41
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.63,-2.67,1.16,-1.43,-1.14,0.32,-1.22,0.09,-0.11,-0.57
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.25,-1.64,1.64,-0.97,-1.23,-0.35,-0.23,0.29,-0.16,-0.27
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.35,-1.82,1.85,-0.69,-0.99,0.32,0.57,0.65,0.41,0.96
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.82,-1.78,1.57,-0.79,-1.4,0.32,0.22,0.8,0.94,-0.47
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.6,-1.43,1.72,-1.48,-1.7,0.23,-1.04,0.62,1.31,0.29
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.84,-0.88,2.19,-0.62,-1.16,0.65,0.43,0.17,-0.29,0.58
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.7,-1.72,1.81,-1.52,-1.16,0.69,-0.73,-0.21,0.09,-0.12
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.29,-1.49,1.76,-0.99,-1.3,1.89,-0.62,-0.32,0.38,-0.43
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.31,-1.19,2.29,-1.23,-1.19,0.26,0.26,0.59,0.8,0.47
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.65,-0.98,1.85,-1.39,-0.49,-0.28,-0.88,-0.91,0.66,0.07
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CCOCC>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.24,-1.2,1.04,-1.47,-1.77,0.95,-0.26,0.44,0.28,0.77
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(CC)CC.CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.27,-1.81,1.06,-1.25,-0.7,0.63,-0.12,0.44,-0.36,0.45
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.CCN(C(C)C)C(C)C.CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.54,-2.63,1.61,-2.03,-0.42,0.6,-1.38,-0.14,0.46,-0.11
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C12=NCCCN1CCCCC2.CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-2.71,1.56,-1.31,-0.92,0.45,-1.23,0.5,-0.3,-0.13
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[O-]P([O-])([O-])=O.[K+].[K+].[K+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.21,-2.73,1.89,-1.24,-0.36,-0.31,-2.23,-0.52,-0.64,-1.34
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.13,-2.11,1.6,-1.91,-0.18,0.67,-1.69,0.39,-0.4,-0.62
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.8,-1.96,1.8,-1.2,-0.78,0.08,-0.97,0.17,0.1,-0.06
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Li+].[Li+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.23,-1.75,1.96,-0.99,0,-0.39,-0.42,0.34,-0.31,0.21
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.C(=O)([O-])[O-].[Cs+].[Cs+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.06,-2.65,1.21,-1.7,-0.93,0.1,-1.7,0.46,0.42,-0.58
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[H-].[Na+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.9,-0.47,1.41,-0.48,-0.98,0.88,1.1,-0.11,0.25,0.25
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[F-].[K+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,0.46,-2.51,1.63,-1.41,-0.5,0.62,-1.73,0.71,-0.49,-0.46
CC(O)C1=CC=CC=C1.OB(/C=C/C1=CC=CC=C1)O.[OH-].[Na+].CN(C([H])=O)C>>CC(/C=C/C1=CC=CC=C1)C2=CC=CC=C2,1.33,-0.45,1.68,-1.29,-1.38,0.32,0.16,-0.15,0.08,0.43
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,1.45,-0.54,1.79,-0.92,-1.41,0.78,0.39,-0.03,-0.11,0.49
BrC/C=C/C1=CC=CC=C1.B1(OB(C2=CC=CC=C2)OB(C3=CC=CC=C3)O1)C4=CC=CC=C4.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,0.41,-1.66,1.5,-0.61,-1.32,0.56,-0.06,0.08,-0.45,-0.2
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=CC=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>C1(/C=C/CC2=CC=CC=C2)=CC=CC=C1,0.17,-2.38,1.5,-1.68,-0.51,0.16,-1.51,0.72,-0.66,-0.04
BrC/C=C/C1=CC=CC=C1.CC1=CC=C(B(O)O)C=C1.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>CC(C=C1)=CC=C1C/C=C/C2=CC=CC=C2,1.35,-0.81,1.56,-0.92,-1.65,0.08,0.46,0.15,-0.07,0.43
BrC/C=C/C1=CC=CC=C1.OB(C1=CC=C(OC)C=C1)O.C(=O)([O-])[O-].[K+].[K+].CC1=CC=CC=C1>>COC(C=C1)=CC=C1C/C=C/C2=CC=CC=C2,1.66,-1.51,1.77,-0.58,-0.67,0.18,0.46,0.12,-0.24,-0.44
